record,type,day,month,year,date_group_no,date_group,object_phrases,cushions,mortar,dough_trough,candelabrum,green_dyestuff,ruby_red_dyestuff,spit,lamp,silk,black_dyestuff,gold,purple_dyestuff,sendal,amber,yellow_dyestuff,alexandria,alembic,damascus,pulvinar,coysin,auricula,fluna,transverser
Inventory of Bertrandus de Serveriis (AMM 1 II 18),Inventory-Postmortem,1,Jul,1317,2,1300-1349,53,1,,1,,,,1,,,,,,,,,,,,0,0,0,0,0
Inventory of Bertrandus Pauli (AMM 1 II 44),Inventory-Postmortem,30,Aug,1349,2,1300-1349,59,1,1,,,,,1,,,,,,,,,,,,1,0,1,0,0
Inventory of Augerius Bote (AMM 2 II 221),Inventory-Guardianship,15,Jan,1349,2,1300-1349,60,1,1,,1,,1,1,,1,,,,,,,,,,1,0,0,0,0
Inventory of Johannes Arnaudi (ADBR 355E 1),Inventory-Postmortem,3,Apr,1348,2,1300-1349,61,1,,1,,,,,,,,,,,,,,,,1,0,0,0,0
Inventory of Allays Gasc (AMM 1 II 18),Inventory-Postmortem,1,May,1315,2,1300-1349,63,1,,1,,,,,,,,,,,,,,,,1,0,0,0,0
Inventory of Jacobus Jugueti (AMM 1 II 44),Inventory-Postmortem,5,Apr,1348,2,1300-1349,63,1,,,,1,,,,,1,,,,,,,,,1,1,1,0,0
Inventory of Bonafossius Boneti of Lunello (AMM 1 II 44),Inventory-Guardianship,5,Jun,1348,2,1300-1349,77,1,,,1,1,1,,1,1,,,,,,1,,,,1,0,0,0,0
Inventory of Benedictus de Tortosa (AMM 1 II 44),Inventory-Postmortem,23,May,1348,2,1300-1349,80,1,1,1,,,1,1,,1,,1,,,,,,,,1,0,1,0,0
Inventory of Petrus Castanee (ADBR 355E 1),Inventory-Guardianship,7,Mar,1348,2,1300-1349,101,1,,,,1,,,,,,,,1,,,1,,,1,0,0,0,0
Inventory of Guillelmus Naulonqui (ADBR 381E 45ter),Inventory-Guardianship,28,Jun,1324,2,1300-1349,109,1,1,1,1,1,,1,,,,,,,,,,,,1,0,0,0,0
Inventory of Vivaudus de Jerusalem (AMM 1 II 44),Inventory-Postmortem,3,Jun,1348,2,1300-1349,112,1,1,1,1,1,,1,,,1,,,,,,,,,1,0,0,0,0
Inventory of Fulco Amati (ADBR 3B 32),Inventory-Guardianship,14,Nov,1336,2,1300-1349,151,1,1,1,1,1,1,1,,1,,,,1,,1,,,,1,0,0,0,0
Inventory of Franciscus de Serralonga (ADBR 355E 1),Inventory-Postmortem,5,Apr,1348,2,1300-1349,174,1,1,1,1,1,1,1,,,1,,,1,1,,,,,1,0,1,0,0
Inventory of Guillelmus Pichoni (ADBR 355E 1),Inventory-Postmortem,9,Mar,1348,2,1300-1349,193,1,1,1,1,1,,1,,1,1,1,1,1,1,1,,1,,1,0,0,0,0
Inventory of Montolina de Monteolivo (AMM 1 II 18),Inventory-Guardianship,25,Jan,1315,2,1300-1349,197,1,1,1,1,1,,1,,,1,1,1,1,,1,1,,,0,1,0,0,0
Inventory and other acts for Guillelmus Egidii (AMM 1 II 58),Inventory-Postmortem,2,Jun,1347,2,1300-1349,209,1,1,1,1,1,1,1,1,1,1,,,,,,,,,0,1,0,0,0
Inventory of Alaseta Briansone (ADBR 392E 1),Inventory-Postmortem,25,Aug,1396,3,1350-1399,15,,,,,,,,1,,,,,,,,,,,1,0,0,0,0
Inventory of Johannes Bermundi (ADBR 3B 61),Inventory-Postmortem,2,Jul,1359,3,1350-1399,19,,,,,,1,,1,,,1,1,,,,,,,0,0,0,0,0
Inventory of Jacobus Hospitalerii (ADBR 355E 34),Inventory-Postmortem,16,Feb,1350,3,1350-1399,22,1,,,,,,,,,,,,,,,,,,0,0,0,0,0
Inventory of Bermona Ruffa (AMM 1 II 44),Inventory-Postmortem,13,Jun,1350,3,1350-1399,25,,1,1,,,,,,,1,,,,,,,,,1,0,0,0,0
Inventory of Narratus (ADBR 351E 152),Inventory-Postmortem,14,Nov,1399,3,1350-1399,26,1,,,,,,,1,,,,,,,,,,,1,0,0,0,0
Inventory of Petrus Baboti (ADBR 351E 95),Inventory-Postmortem,27,Aug,1395,3,1350-1399,26,,1,1,,,,,,,,,,,,,,,,1,0,1,1,0
Inventory of Crescas Rogeti (ADBR 3B 128),Inventory-Guardianship,18,Dec,1397,3,1350-1399,38,1,1,1,,1,1,,1,,,,1,1,1,,,,,1,0,1,1,0
Inventory of Guillelmus Gaufridi (ADBR 351E 144),Inventory-Postmortem,7,Aug,1387,3,1350-1399,44,,,,,,,,,1,,,,,1,,,,,1,1,0,1,1
